y	m	p_m1	p_m	STATUS	NOTE	UPm1_num	LOm_num	DEN	gap_lo_num	gap_hi_num	gap_DEN
523	25732	297793	297797	OK		415886389435039007962281227233244147433658	415888404233676148391367050652393699247560	600000000000000000000000000000000000000000	4682505320446339246961791394453235347626164396851933202846873233731356600000000000000000000000000000000000000000	191890092817768805804564166179341164208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
541	26308	304949	304961	OK		415886517572462415867302893778128816448664	415888485040324203383195575777926183852095	600000000000000000000000000000000000000000	8628142432506487124165186535303066158173039396851933202846873233731356600000000000000000000000000000000000000000	179076350476978303637909677712439663608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
547	26878	312289	312311	OK		415886671342266819723271898658846739296971	415888592507207696930657410880248206584945	600000000000000000000000000000000000000000	13875548853089859284082292102819318599579289396851933202846873233731356600000000000000000000000000000000000000000	163699370036592706737421605920154832908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
557	27455	319387	319391	OK		415886766503691861456160611452323176104781	415888645081744991792185034407840809144790	600000000000000000000000000000000000000000	16442664931940519812574850335366186031219914396851933202846873233731356600000000000000000000000000000000000000000	154183227532419417866142258276474051908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
563	28035	326617	326633	OK		415887958577736115880664189866803457029356	415889795504508699395518338354327304764015	600000000000000000000000000000000000000000	72615651441100838821556612371285093501923039396851933202846873233731356600000000000000000000000000000000000000000	34975823106976967508300810248381594408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
569	28621	334049	334057	OK		415887581592012400435115599558637118886114	415889377695319470515673777570945633161655	600000000000000000000000000000000000000000	52214812123284440161362111313101384517548039396851933202846873233731356600000000000000000000000000000000000000000	72674395478521522367331626882195918608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
571	29214	341647	341659	OK		415887136432023171845916518567471893862289	415888892571515491398719798069573652228170	600000000000000000000000000000000000000000	28527126382116620142831770884344866695282414396851933202846873233731356600000000000000000000000000000000000000000	117190394401380442275430743404698301108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
577	29819	349373	349379	OK		415887809038876896813545914888203772928776	415889526374045170013640394803133646261475	600000000000000000000000000000000000000000	59474515526580239312594151743428524165985539396851933202846873233731356600000000000000000000000000000000000000000	49929709028883679335798670216791652408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
587	30430	357179	357197	OK		415886725899407093357191529410317716149981	415888405647068201136894962345693923656910	600000000000000000000000000000000000000000	4751518604271804477024940819473223140594914396851933202846873233731356600000000000000000000000000000000000000000	158243656009229314774346458822469531908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
593	31045	365129	365137	OK		415887131482045865565172228886182556188457	415888774703103582594029242672569329745625	600000000000000000000000000000000000000000	22771832831882016111806526532661148677704289396851933202846873233731356600000000000000000000000000000000000000000	117685392132008516704398872338465684308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
599	31667	373301	373327	OK		415887041558580875414978471354465077983178	415888648730817610168761620457561779983640	600000000000000000000000000000000000000000	16620842305884688591190559367145426753876164396851933202846873233731356600000000000000000000000000000000000000000	126677738631023536080152044086286212208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
601	32297	381413	381419	OK		415887900140506966881459057178228322908519	415889473215715257004273509477455357813590	600000000000000000000000000000000000000000	56878893948796578820146608858250404781219914396851933202846873233731356600000000000000000000000000000000000000000	40819546021876888021569667761793678108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
607	32938	389783	389791	OK		415887753229205041430696524354599417239335	415889292517583374744004936968327870723760	600000000000000000000000000000000000000000	48055742977983089143754561617669846675751164396851933202846873233731356600000000000000000000000000000000000000000	55510676214421964274852030652360596508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
613	33586	397973	397981	OK		415887409915254373403836496584944974663308	415888917526775385736834264385853905219010	600000000000000000000000000000000000000000	29745644931644848388257370506072935054657414396851933202846873233731356600000000000000000000000000000000000000000	89842071281224650277628996096618199208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
617	34242	406661	406673	OK		415887771069705216622409051064411320606911	415889246458346497692288986591404416592395	600000000000000000000000000000000000000000	45806756802345798325865063402136088619110539396851933202846873233731356600000000000000000000000000000000000000000	53726626196902793022181049462023838908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
619	34907	415189	415201	OK		415886873523559398617338372587339302227455	415888318608494303867533041249196930068775	600000000000000000000000000000000000000000	501588238194198914471400927208177486298039396851933202846873233731356600000000000000000000000000000000000000000	143481240778703300090028756663861784508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
631	35585	423991	424001	OK		415887668691460308816469004472506218666558	415889083784102451741638012535240031851195	600000000000000000000000000000000000000000	37863678479789614196272477250537397212860539396851933202846873233731356600000000000000000000000000000000000000000	63964450687683387026840239972217874208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
641	36263	432659	432661	OK		415887002372838394464162085848607552757952	415888389141420433221728537626035719590320	600000000000000000000000000000000000000000	3945578771854071741442926258727784175751164396851933202846873233731356600000000000000000000000000000000000000000	130596312879118617718702629838808734808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
643	36945	441527	441547	OK		415887906969024447033877673363500715130820	415889265829276624336767335898718116913400	600000000000000000000000000000000000000000	46752602999935860745264834578909575191376164396851933202846873233731356600000000000000000000000000000000000000000	40136694273861646159951140522571448008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
647	37638	450503	450529	OK		415887754919192892470073757328930694306338	415889086688411924054127440518228582207585	600000000000000000000000000000000000000000	38005490465742372469123209113347767818329289396851933202846873233731356600000000000000000000000000000000000000000	55341677429318026551554597524653896208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
653	38341	459961	460013	OK		415887609114547909165021538069768176751232	415888913426906480009563631040918781583675	600000000000000000000000000000000000000000	29545456020232384001863574845739178462860539396851933202846873233731356600000000000000000000000000000000000000000	69922141927648531773480513776409406808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
659	39052	469279	469283	OK		415887381879727129478992865644504561933048	415888660427273863592517284108346180695525	600000000000000000000000000000000000000000	17191958333883895410704757824211436763641789396851933202846873233731356600000000000000000000000000000000000000000	92645624005617134640723040137891225208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
661	39771	478483	478493	OK		415887908627711202532503669989372502257692	415889162565838449732860992118262494252905	600000000000000000000000000000000000000000	41710442932816529380822429519209355708954289396851933202846873233731356600000000000000000000000000000000000000000	39970825598311783560288553343858760808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
673	40502	488209	488227	OK		415888276730744292705306318240996576467585	415889505668521334766931850810006560547030	600000000000000000000000000000000000000000	58463503620562333621969487334946373531219914396851933202846873233731356600000000000000000000000000000000000000000	3160522289294503295463390936437771508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
677	41233	497603	497633	OK		415887167280200374516968050138347260896135	415888372989212222549410789728871242695270	600000000000000000000000000000000000000000	3156896730317337476408885024504393062469914396851933202846873233731356600000000000000000000000000000000000000000	114105576681113337122273655867994916508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
683	41975	507383	507401	OK		415887428698800296932960616223081697227185	415888611196630059247418956865495132361260	600000000000000000000000000000000000000000	14788118304374857406444852987866990230438664396851933202846873233731356600000000000000000000000000000000000000000	87963716688871737865665182424361811508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
691	42725	517267	517277	OK		415887716727719064266972196953949541054036	415888876648941655551992732528165416727020	600000000000000000000000000000000000000000	27749656956538166672834631810345787105438664396851933202846873233731356600000000000000000000000000000000000000000	59160824812138336707592095639979126408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
701	43480	526993	526997	OK		415887508483223930917368822323687870044951	415888647010691418377088565397814404113985	600000000000000000000000000000000000000000	16536851769176110805298970139808041255829289396851933202846873233731356600000000000000000000000000000000000000000	79985274325473297045055121807080034908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
709	44239	537067	537071	OK		415887961082906246159003352106365242414619	415889078254656923181392091881118324005485	600000000000000000000000000000000000000000	37593686022340383438428037714021493404266789396851933202846873233731356600000000000000000000000000000000000000000	34725306093949133592076854069843068108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
719	45003	547499	547501	OK		415887514798890698760354959040809413507568	415888610688284244721228366196358800115450	600000000000000000000000000000000000000000	14763296731399945756509836565394050289032414396851933202846873233731356600000000000000000000000000000000000000000	79353707648688998431383409652733773208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
727	45771	557671	557693	OK		415887514557244145663024949425372004048856	415888590418926152542250545251521609637040	600000000000000000000000000000000000000000	13773581980805269105096514436952721675751164396851933202846873233731356600000000000000000000000000000000000000000	79377872303998731432344953393679644408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
733	46545	568069	568091	OK		415887829777171294605221492318151128734615	415888885946903519552850568780868279610010	600000000000000000000000000000000000000000	28203659000678833559370408317322495601532414396851933202846873233731356600000000000000000000000000000000000000000	47855879589104511778055675481211068508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
739	47326	578309	578311	OK		415887371975624882337290029139793618887856	415888409480549032225802485343224424741170	600000000000000000000000000000000000000000	4938700285477317539671304613471478023407414396851933202846873233731356600000000000000000000000000000000000000000	93636034230331304924373511232195744408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
743	48115	588463	588481	OK		415887336803685197899298802121969727972208	415888356378661105471081882441217013769440	600000000000000000000000000000000000000000	2345834664053747197732730032857624019501164396851933202846873233731356600000000000000000000000000000000000000000	97153228198775104047075293621287309208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
751	48914	599309	599321	OK		415887443097445099737741788379753459952616	415888444231215385872178304632417115632555	600000000000000000000000000000000000000000	6635510166026456983972534725331408931610539396851933202846873233731356600000000000000000000000000000000000000000	86523852208591259748449515248089268408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
757	49719	609877	609887	OK		415887845021104489353676015500715650314473	415888828810698025462932213290207390781065	600000000000000000000000000000000000000000	25413805216787724264668715891110144771454289396851933202846873233731356600000000000000000000000000000000000000000	46331486269629666325737419029053082708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
761	50531	620663	620671	OK		415887523764899692205381177713700208758311	415888490461386954296019515163958670893660	600000000000000000000000000000000000000000	8892842762140902355580520152834392574188664396851933202846873233731356600000000000000000000000000000000000000000	78457106749344495809516120573208698908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
769	51354	631991	631993	OK		415887930405126590905178487821309777072633	415888879783469296151181281492990441795530	600000000000000000000000000000000000000000	27902710063989298926202054907272960445282414396851933202846873233731356600000000000000000000000000000000000000000	37793084059474516078505359616377266708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
773	52183	643429	643439	OK		415888275011180797476337363397107751359168	415889207501220483952801394744033018369515	600000000000000000000000000000000000000000	43904553383706174908294390970582237056610539396851933202846873233731356600000000000000000000000000000000000000000	3332478638817400190947779818948613208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
787	53022	654499	654509	OK		415888288445704703807381816239000134385809	415889205164116392097603068093387164100040	600000000000000000000000000000000000000000	43790436972971057802500902403479235347626164396851933202846873233731356600000000000000000000000000000000000000000	1989026248184295745663590580645949108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
797	53860	665617	665629	OK		415888017054259529753725403990477211849406	415888918457959485918300748729199429217875	600000000000000000000000000000000000000000	29791112905286521556438197924236942134735539396851933202846873233731356600000000000000000000000000000000000000000	29128170765589661386888442872899589408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
809	54702	677057	677077	OK		415888075198310046614922016054637552386365	415888961361089030816341205792018830791220	600000000000000000000000000000000000000000	31885992277595996188130718402829390621063664396851933202846873233731356600000000000000000000000000000000000000000	23313765713903541725682026838845893508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
811	55545	688297	688309	OK		415887726985455933790651446509134610367571	415888598687596682736804012393426930559555	600000000000000000000000000000000000000000	14177325659037425036109302782700891353485539396851933202846873233731356600000000000000000000000000000000000000000	58135051125185968782636577133047772908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
821	56401	699953	699961	OK		415888282428175905442393082109866394856738	415889139619393220088450502727669288066590	600000000000000000000000000000000000000000	40590011036837798399895154460313539546844914396851933202846873233731356600000000000000000000000000000000000000000	2590779128020794619076503954598856208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
823	57260	711209	711223	OK		415888293543192648117161125163178106407940	415889137161038239087993187671461539894295	600000000000000000000000000000000000000000	40469974172531135445058425566359814205048039396851933202846873233731356600000000000000000000000000000000000000000	1479277453753317814771172783443736008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
827	58131	723157	723161	OK		415888276153744761782462982999816497554475	415889105845069582038709132011052824976190	600000000000000000000000000000000000000000	38940874140448650872028132172076703609344914396851933202846873233731356600000000000000000000000000000000000000000	3218222242386787628987508944329082508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
829	59012	735001	735019	OK		415888214101862079114211555885574710526522	415889030407837265109837881918783135676470	600000000000000000000000000000000000000000	35257415531223608330519720566153865718719914396851933202846873233731356600000000000000000000000000000000000000000	9423410510653612771698933123031877808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
839	59905	747457	747463	OK		415887815252282621454214674118676453688623	415888617968129291157321066161067694585440	600000000000000000000000000000000000000000	15118757915307958095375300866881842769501164396851933202846873233731356600000000000000000000000000000000000000000	49308368456419612459875622948715667708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
853	60803	759617	759623	OK		415888116636534562777229449635955600063428	415888906502545188914993621712239785570065	600000000000000000000000000000000000000000	29207352441565656950626822941636951412079289396851933202846873233731356600000000000000000000000000000000000000000	19169943262287310982323895034078187208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
857	61700	771473	771481	OK		415888153872953220675514444486322519362964	415888931598370472361931555864434825491875	600000000000000000000000000000000000000000	30432734535483964466942848090070633540985539396851933202846873233731356600000000000000000000000000000000000000000	15446301396497482482838858342148233608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
859	62607	783787	783791	OK		415888162685660346063549149377766666465383	415888928196334268729054729004877215590440	600000000000000000000000000000000000000000	30266619486478452903131346253649665035126164396851933202846873233731356600000000000000000000000000000000000000000	14565030683958679012349713927437991708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
863	63526	796193	796217	OK		415887972928768212709315211422502496003246	415888726492646853086513034998317114873830	600000000000000000000000000000000000000000	20417806624386531921978682186231861812469914396851933202846873233731356600000000000000000000000000000000000000000	33540719897294102406145240344484205408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
877	64455	808991	808993	OK		415887644754498096285616913224003513947460	415888386417732409095821490765047524087115	600000000000000000000000000000000000000000	3812586192551048936420417069494229244110539396851933202846873233731356600000000000000000000000000000000000000000	66358146908936472235965090242689784008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
881	65385	821603	821641	OK		415888291365132475664048683180536108509772	415889021611504439386530289181485356615320	600000000000000000000000000000000000000000	34827907092467587451968094698035645503876164396851933202846873233731356600000000000000000000000000000000000000000	1697083470998629058969436983233552808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
883	66324	834143	834149	OK		415888184279303839404023361746561147148878	415888903575681264508443088689950505510580	600000000000000000000000000000000000000000	29064439164006743350381593972884046871063664396851933202846873233731356600000000000000000000000000000000000000000	12405666334624631591112834479369642208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
887	67275	847339	847361	OK		415887647106147196220556851215482749217293	415888355187293750208492037694423798410055	600000000000000000000000000000000000000000	2287662429910066052969703020388904048798039396851933202846873233731356600000000000000000000000000000000000000000	66122981998942978242165942319162800708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
907	68238	860623	860641	OK		415888106617308568262481350026917834337444	415888803772502270758734157828260136933240	600000000000000000000000000000000000000000	24191237064702558343991862997855856441376164396851933202846873233731356600000000000000000000000000000000000000000	20171865861738785792284798810650785608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
911	69193	873553	873569	OK		415887809466893523603425547015732946550665	415888496304839917737995976018512154270675	600000000000000000000000000000000000000000	9178167613871467612458183897139910884735539396851933202846873233731356600000000000000000000000000000000000000000	49886907366204691372585917299429463508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
919	70159	886643	886651	OK		415888077480074070991981385119177358363343	415888754184135777217084208631451137764955	600000000000000000000000000000000000000000	21769930107010094967566237558443342525360539396851933202846873233731356600000000000000000000000000000000000000000	23085589311465835788775572858248195708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
929	71130	900149	900157	OK		415887667515832522212485604384583788539162	415888334066587583421390036533423020888015	600000000000000000000000000000000000000000	1256377949109914588069263529298960689423039396851933202846873233731356600000000000000000000000000000000000000000	64082013466343785366849032215230613808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
937	72106	913417	913421	OK		415887931607911093314246562410598615729494	415888588479521518226754052291791738698585	600000000000000000000000000000000000000000	13678884488895332752901215126848304927704289396851933202846873233731356600000000000000000000000000000000000000000	37672805609233609271046430732511580608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
941	73088	926777	926797	OK		415888169270940500682801700530891759342058	415888816662244750563807098888601975009185	600000000000000000000000000000000000000000	24820619021724290421192075001668158443329289396851933202846873233731356600000000000000000000000000000000000000000	13906502668496753757234401418150324208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
947	74080	940727	940733	OK		415888278575822263568310544147439808063503	415888916376679559868717652386673615161120	600000000000000000000000000000000000000000	29689487908897381756812098030972452144501164396851933202846873233731356600000000000000000000000000000000000000000	2976014492208202872872746613278179708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
953	75080	954619	954623	OK		415888186656661053588677660540136738459977	415888815177353854844097655301756299858475	600000000000000000000000000000000000000000	24748114583456726483516936052686190181610539396851933202846873233731356600000000000000000000000000000000000000000	12167930613206166161233476920238532308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
967	76088	968557	968567	OK		415887817015477157440826358305715033164006	415888436487650870032171650931533053167350	600000000000000000000000000000000000000000	6257406429901456659084796245718850093719914396851933202846873233731356600000000000000000000000000000000000000000	49132049002820951291456919090768129408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
971	77097	982741	982759	OK		415888220345756632035997580384742645494285	415888830872142523568682133120396511319450	600000000000000000000000000000000000000000	25514461686421794084972924344261433101532414396851933202846873233731356600000000000000000000000000000000000000000	8799021055361434169249016329535101508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
977	78116	997019	997021	OK		415888254686490215138408195065780967779447	415888856479527849751231200956050447944690	600000000000000000000000000000000000000000	26764822298051801363675837134135712398407414396851933202846873233731356600000000000000000000000000000000000000000	5364947697051193107780912497306585308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
983	79143	1010861	1010881	OK		415888225716755532374416997361386510548530	415888819258717564802196639061979489033195	600000000000000000000000000000000000000000	24947399920857024285458353200595112056610539396851933202846873233731356600000000000000000000000000000000000000000	8261921165327592227551351943029677008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
991	80178	1025099	1025111	OK		415888182696012882862339587895682500119895	415888767998763581031121483652649890953380	600000000000000000000000000000000000000000	22444472480243202256385632028813871089813664396851933202846873233731356600000000000000000000000000000000000000000	12563995430278799968497922344072540508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
997	81219	1039667	1039681	OK		415888070313618719290768972464703438950101	415888647413983192475025579866259648502610	600000000000000000000000000000000000000000	16556543750333236636083562192756704585907414396851933202846873233731356600000000000000000000000000000000000000000	23802234846635957030041020250189519908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1009	82269	1054381	1054393	OK		415888277116491089557719918524149062920334	415888846164540607046381916847302750466870	600000000000000000000000000000000000000000	26261160811591603644725214687969803218719914396851933202846873233731356600000000000000000000000000000000000000000	3121947609609261935435075687792496608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1013	83320	1069207	1069217	OK		415887775985191738490056637343773395293140	415888337143755613635884512005461307785340	600000000000000000000000000000000000000000	1406630294335231701129421648776369136688664396851933202846873233731356600000000000000000000000000000000000000000	53235077544716028263553113254555216008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1019	84383	1083839	1083847	OK		415888212768778660025517119049670303904660	415888766352700067801663710311104649994485	600000000000000000000000000000000000000000	22364098285261295138546689390095175044891789396851933202846873233731356600000000000000000000000000000000000000000	9556718852562482215382523563694064008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1021	85453	1098689	1098707	OK		415887946864000116646614511850756723115321	415888492960701770250218718122323283802620	600000000000000000000000000000000000000000	9014879618388665988537471549949087886688664396851933202846873233731356600000000000000000000000000000000000000000	36147196706900372476102414921772997908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1031	86536	1113373	1113379	OK		415888007449788876665489992275975318314973	415888546350078220706735246478833520880905	600000000000000000000000000000000000000000	11621782765383613084648629276368926021454289396851933202846873233731356600000000000000000000000000000000000000000	30088617830898484928059893062253032708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1033	87623	1128763	1128769	OK		415888040654988283976130168522984673399916	415888572207734359200329683783344180074300	600000000000000000000000000000000000000000	12884363631520995625532638585899853511688664396851933202846873233731356600000000000000000000000000000000000000000	26768097890167420910435192126744538408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1039	88723	1144261	1144271	OK		415888240292197529339961585590224566060342	415888764643734966189275437288184688396545	600000000000000000000000000000000000000000	22280652723659127742402992126345275630829289396851933202846873233731356600000000000000000000000000000000000000000	6804376965631037768728468137478495808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1049	89831	1159597	1159601	OK		415888099490461761311571209970526741570995	415888616910035122508729068240065750645995	600000000000000000000000000000000000000000	15067093160979413564226814443837924556610539396851933202846873233731356600000000000000000000000000000000000000000	20884550542433876806290437919927430508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1051	90943	1174951	1174969	OK		415888005652391535856412161005304105648328	415888516304375855161898815762091294089780	600000000000000000000000000000000000000000	10154707454565994118305038347326390621063664396851933202846873233731356600000000000000000000000000000000000000000	30268357564979392711186960183519697208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1061	92068	1190291	1190311	OK		415888142555088069728712269404837083776087	415888646625241275850734909498573043843360	600000000000000000000000000000000000000000	16518030961435566193194514995263577144501164396851933202846873233731356600000000000000000000000000000000000000000	16578087911592162700347006885706921308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1063	93197	1206391	1206407	OK		415888202928777407912358265050054506419666	415888700273574665940325591158674887814490	600000000000000000000000000000000000000000	19137578490248534488197449655613729976532414396851933202846873233731356600000000000000000000000000000000000000000	10540718977773798100782485143442563408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1069	94339	1222499	1222513	OK		415888204924476099472122124656604305462777	415888695717000683479158081911826997166675	600000000000000000000000000000000000000000	18915089526261172793410005910953192134735539396851933202846873233731356600000000000000000000000000000000000000000	10341149108617821714821830163538252308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1087	95489	1238921	1238947	OK		415887837990879711889130769305067009768228	415888322273289215900476901570398067180215	600000000000000000000000000000000000000000	680533302258307501401147076481197017548039396851933202846873233731356600000000000000000000000000000000000000000	47034508747376120850356983893107707208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1091	96636	1255039	1255049	OK		415887990048014172354630484079451803265449	415888468117185457558374107760160954631760	600000000000000000000000000000000000000000	7801817298433009513422131592470041988251164396851933202846873233731356600000000000000000000000000000000000000000	31828795301329570878879545413757985108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1093	97793	1270961	1270981	OK		415887917011381426718368921266057154778164	415888389087858107610799566640495348048185	600000000000000000000000000000000000000000	3942963423923850600281522920273578365204289396851933202846873233731356600000000000000000000000000000000000000000	39132458575893197035160884878606713608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1097	98963	1287491	1287499	OK		415887939881100639611184533847860093628486	415888405901058272525718472830585396550210	600000000000000000000000000000000000000000	4763920463226336874997835910923091304657414396851933202846873233731356600000000000000000000000000000000000000000	36845486654603915473902704584721681408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1103	100144	1304183	1304207	OK		415888031239047773613661330020833721557647	415888491288891471660677715212637631489905	600000000000000000000000000000000000000000	8933248256152848556754772055207256099579289396851933202846873233731356600000000000000000000000000000000000000000	27709691941203667794285407221928765308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1109	101334	1321273	1321283	OK		415888183943112038805162357250958536586876	415888638047360393250170919727949796935920	600000000000000000000000000000000000000000	16099189121464835529631496282035674800751164396851933202846873233731356600000000000000000000000000000000000000000	12439285514684517691562394740425842408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1117	102532	1338217	1338229	OK		415887993538273311257012927973011857592829	415888441892195364175734187673178394243515	600000000000000000000000000000000000000000	6521300204029560298574134397138584712860539396851933202846873233731356600000000000000000000000000000000000000000	31479769387439332634490189408325247108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1123	103737	1355303	1355309	OK		415887947092752274298567747915065784236453	415888389796385158079713705352751622891430	600000000000000000000000000000000000000000	3977559471310028048460832308693658687469914396851933202846873233731356600000000000000000000000000000000000000000	36124321491135177152495984015660884708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1129	104951	1372421	1372451	OK		415887962587680018021599576136024504635179	415888399761914482756875859158422087135675	600000000000000000000000000000000000000000	4464157582866530106752124811830584712860539396851933202846873233731356600000000000000000000000000000000000000000	34574828716762873969673888143621012108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1151	106174	1389667	1389673	OK		415888079280431659744863518207450656391170	415888511036832342550245298673994845923265	600000000000000000000000000000000000000000	9897503181489253223915971137943260005829289396851933202846873233731356600000000000000000000000000000000000000000	22905553552590547575466745528445413008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1153	107388	1406803	1406807	OK		415887990430255938539186639883204731661303	415888416928140879689913023626413638504260	600000000000000000000000000000000000000000	5302352231154276062048413461799753902313664396851933202846873233731356600000000000000000000000000000000000000000	31790571124711115263299170120918399708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1163	108616	1424519	1424531	OK		415888298282298022056233250431101860906359	415888719473698848532400297947663193841920	600000000000000000000000000000000000000000	20075084553851663135989880725243975582001164396851933202846873233731356600000000000000000000000000000000000000000	1005366916359410602244380407993894108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1171	109847	1441567	1441579	OK		415888016267261106844483393283251814199307	415888432477683819572187655207423498859210	600000000000000000000000000000000000000000	6061607257515715253043579958887397945282414396851933202846873233731356600000000000000000000000000000000000000000	29206870607880585587959165412664599308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1181	111085	1459141	1459153	OK		415887980593726032055821410972395345331953	415888391791319772358441316736619089177465	600000000000000000000000000000000000000000	4074968388022856545110435212320906490204289396851933202846873233731356600000000000000000000000000000000000000000	32774224115359451786190251059551334708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1187	112328	1476967	1476973	OK		415888190526806014424062520784404710706294	415888596763209833561314679785309518921725	600000000000000000000000000000000000000000	14083361457417528096040547049710762935516789396851933202846873233731356600000000000000000000000000000000000000000	11780916117122627675209050123013900608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1193	113579	1494313	1494343	OK		415888154238609664737810667235643573818576	415888555752986041097298638171070923873370	600000000000000000000000000000000000000000	12080909123801121062758601805811917476532414396851933202846873233731356600000000000000000000000000000000000000000	15409735752091252860563926236702672408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
