[sieve] sieving primes up to 950000000 ...
y	m	p_m1	p_m	STATUS	gap_log
829	59012	735001	735019	OK	1.203453e-06
839	59905	747457	747463	OK	5.160537e-07
853	60803	759617	759623	OK	9.969443e-07
857	61700	771473	771481	OK	1.038771e-06
859	62607	783787	783791	OK	1.033101e-06
863	63526	796193	796217	OK	6.969279e-07
877	64455	808991	808993	OK	1.301363e-07
881	65385	821603	821641	OK	1.188793e-06
883	66324	834143	834149	OK	9.920662e-07
887	67275	847339	847361	OK	7.808558e-08
907	68238	860623	860641	OK	8.257276e-07
911	69193	873553	873569	OK	3.132815e-07
919	70159	886643	886651	OK	7.430803e-07
929	71130	900149	900157	OK	4.288440e-08
937	72106	913417	913421	OK	4.669059e-07
941	73088	926777	926797	OK	8.472105e-07
947	74080	940727	940733	OK	1.013401e-06
953	75080	954619	954623	OK	8.447357e-07
967	76088	968557	968567	OK	2.135862e-07
971	77097	982741	982759	OK	8.708937e-07
977	78116	997019	997021	OK	9.135726e-07
983	79143	1010861	1010881	OK	8.515380e-07
991	80178	1025099	1025111	OK	7.661047e-07
997	81219	1039667	1039681	OK	5.651301e-07
1009	82269	1054381	1054393	OK	8.963810e-07
1013	83320	1069207	1069217	OK	4.801302e-08
1019	84383	1083839	1083847	OK	7.633613e-07
1021	85453	1098689	1098707	OK	3.077079e-07
1031	86536	1113373	1113379	OK	3.966902e-07
1033	87623	1128763	1128769	OK	4.397863e-07
1039	88723	1144261	1144271	OK	7.605130e-07
1049	89831	1159597	1159601	OK	5.142901e-07
1051	90943	1174951	1174969	OK	3.466141e-07
1061	92068	1190291	1190311	OK	5.638155e-07
1063	93197	1206391	1206407	OK	6.532294e-07
1069	94339	1222499	1222513	OK	6.456351e-07
1087	95489	1238921	1238947	OK	2.322890e-08
1091	96636	1255039	1255049	OK	2.663021e-07
1093	97793	1270961	1270981	OK	1.345865e-07
1097	98963	1287491	1287499	OK	1.626085e-07
1103	100144	1304183	1304207	OK	3.049216e-07
1109	101334	1321273	1321283	OK	5.495190e-07
1117	102532	1338217	1338229	OK	2.225938e-07
1123	103737	1355303	1355309	OK	1.357674e-07
1129	104951	1372421	1372451	OK	1.523766e-07
1151	106174	1389667	1389673	OK	3.378348e-07
1153	107388	1406803	1406807	OK	1.809870e-07
1163	108616	1424519	1424531	OK	6.852296e-07
1171	109847	1441567	1441579	OK	2.069029e-07
1181	111085	1459141	1459153	OK	1.390923e-07
1187	112328	1476967	1476973	OK	4.807121e-07
1193	113579	1494313	1494343	OK	4.123617e-07
1201	114838	1511977	1511999	OK	2.232083e-08
1213	116105	1530313	1530329	OK	6.133624e-07
1217	117373	1548653	1548719	OK	1.036565e-07
1223	118653	1566883	1566889	OK	3.964235e-07
1229	119941	1585523	1585537	OK	1.848179e-07
[200/3244] y=1229 m=119941 p_m=1585537 (prime_max=949999993)
1231	121239	1604087	1604093	OK	6.063339e-07
1237	122549	1622987	1623023	OK	4.189932e-07
1249	123868	1641931	1641953	OK	3.643966e-07
1259	125190	1660793	1660837	OK	5.768205e-07
1277	126516	1679501	1679521	OK	4.671647e-07
1279	127838	1698709	1698713	OK	2.839766e-07
1283	129173	1717993	1718011	OK	2.164244e-07
1289	130519	1737611	1737613	OK	1.228194e-07
1291	131874	1756787	1756789	OK	1.382712e-07
1297	133242	1776839	1776847	OK	8.284753e-09
1301	134620	1796581	1796591	OK	5.126824e-07
1303	136008	1816403	1816411	OK	4.618387e-07
1307	137409	1836623	1836641	OK	2.767478e-07
