y,M_cert,first_prime,last_prime,num_bits,den_bits,status
2011,10083,2011,109253,131394,131394,PASS
2029,10130,2029,109831,132063,132062,PASS
2063,10219,2063,110927,133485,133485,PASS
2083,10271,2083,111599,134157,134157,PASS
2099,10313,2099,112111,134793,134792,PASS
2129,10389,2129,113041,135897,135896,PASS
2141,10420,2141,113371,136364,136363,PASS
2161,10471,2161,114073,137083,137082,PASS
2207,10586,2207,115513,138793,138793,PASS
2237,10661,2237,116359,139958,139957,PASS
2251,10696,2251,116833,140510,140509,PASS
2273,10750,2273,117503,141324,141324,PASS
2293,10799,2293,118051,142097,142096,PASS
2311,10843,2311,118669,142815,142814,PASS
2341,10916,2341,119611,143891,143890,PASS
2357,10954,2357,120017,144495,144495,PASS
2381,11011,2381,120739,145302,145302,PASS
2393,11040,2393,121039,145725,145725,PASS
2417,11097,2417,121711,146561,146561,PASS
2441,11153,2441,122399,147487,147486,PASS
2467,11214,2467,123191,148451,148450,PASS
2503,11297,2503,124181,149646,149645,PASS
2539,11381,2539,125201,150880,150879,PASS
2551,11408,2551,125551,151249,151249,PASS
2591,11499,2591,126641,152667,152667,PASS
2617,11558,2617,127453,153602,153602,PASS
2647,11626,2647,128273,154684,154684,PASS
2663,11661,2663,128663,155231,155231,PASS
2683,11705,2683,129197,155852,155852,PASS
2693,11728,2693,129497,156208,156207,PASS
2711,11768,2711,130027,156816,156815,PASS
2729,11807,2729,130483,157347,157347,PASS
2749,11851,2749,131071,158015,158014,PASS
2777,11912,2777,131849,158983,158982,PASS
2797,11955,2797,132409,159617,159616,PASS
2819,12003,2819,132967,160330,160329,PASS
2843,12054,2843,133631,161115,161114,PASS
2861,12092,2861,134129,161709,161708,PASS
2897,12169,2897,135119,162843,162842,PASS
2917,12211,2917,135601,163496,163496,PASS
2953,12287,2953,136471,164655,164654,PASS
2969,12320,2969,136861,165181,165181,PASS
3001,12387,3001,137707,166236,166235,PASS
3023,12432,3023,138283,166904,166904,PASS
3049,12486,3049,138923,167744,167743,PASS
3079,12547,3079,139729,168733,168732,PASS
3109,12607,3109,140453,169630,169629,PASS
3137,12664,3137,141161,170538,170538,PASS
3169,12728,3169,141907,171448,171447,PASS
3191,12772,3191,142501,172152,172152,PASS
3217,12823,3217,143197,172974,172974,PASS
3251,12891,3251,144071,173938,173937,PASS
3259,12907,3259,144311,174205,174205,PASS
3301,12989,3301,145399,175514,175513,PASS
3319,13024,3319,145777,176138,176138,PASS
3331,13047,3331,146063,176483,176483,PASS
3359,13102,3359,146807,177348,177347,PASS
3373,13128,3373,147151,177729,177728,PASS
3407,13193,3407,147937,178657,178657,PASS
3449,13273,3449,148957,179856,179855,PASS
3463,13300,3463,149257,180358,180357,PASS
3491,13353,3491,149899,181197,181197,PASS
3517,13401,3517,150497,181926,181926,PASS
3533,13431,3533,150901,182342,182341,PASS
3547,13458,3547,151243,182768,182768,PASS
3571,13502,3571,151717,183399,183399,PASS
3593,13543,3593,152239,183989,183988,PASS
3617,13588,3617,152821,184726,184725,PASS
3637,13624,3637,153313,185296,185296,PASS
3671,13687,3671,154087,186242,186241,PASS
3691,13723,3691,154579,186778,186777,PASS
3709,13755,3709,154991,187321,187321,PASS
3733,13799,3733,155557,187967,187967,PASS
3767,13860,3767,156329,188863,188863,PASS
3793,13907,3793,156979,189603,189602,PASS
3821,13956,3821,157523,190363,190362,PASS
3847,14002,3847,158189,191093,191093,PASS
3863,14031,3863,158573,191507,191507,PASS
3889,14077,3889,159199,192175,192174,PASS
3917,14126,3917,159787,192936,192936,PASS
3929,14147,3929,160079,193321,193320,PASS
3947,14178,3947,160507,193775,193775,PASS
4001,14272,4001,161641,195171,195170,PASS
4013,14292,4013,161923,195495,195495,PASS
4027,14316,4027,162289,195904,195903,PASS
4057,14368,4057,162917,196754,196754,PASS
4091,14426,4091,163673,197639,197639,PASS
4111,14461,4111,164117,198137,198136,PASS
4133,14497,4133,164587,198689,198688,PASS
4157,14538,4157,165211,199330,199329,PASS
4201,14612,4201,166183,200453,200452,PASS
4219,14642,4219,166609,200965,200964,PASS
4241,14679,4241,167033,201539,201538,PASS
4259,14709,4259,167407,202052,202051,PASS
4273,14732,4273,167729,202459,202458,PASS
4297,14772,4297,168293,203124,203124,PASS
4339,14840,4339,169243,204164,204163,PASS
4363,14880,4363,169753,204798,204798,PASS
4397,14935,4397,170371,205695,205695,PASS
4423,14978,4423,170899,206361,206360,PASS
4451,15023,4451,171541,207070,207069,PASS
4481,15071,4481,172153,207805,207805,PASS
4507,15113,4507,172633,208468,208468,PASS
4519,15132,4519,172871,208807,208806,PASS
4549,15180,4549,173573,209591,209591,PASS
4583,15234,4583,174221,210523,210522,PASS
4603,15265,4603,174637,211007,211006,PASS
4639,15322,4639,175463,211901,211901,PASS
4651,15341,4651,175757,212256,212255,PASS
4673,15375,4673,176159,212765,212765,PASS
4703,15423,4703,176641,213537,213537,PASS
4729,15463,4729,177209,214226,214226,PASS
4759,15510,4759,177893,214974,214973,PASS
4789,15556,4789,178481,215678,215677,PASS
4801,15574,4801,178691,216029,216029,PASS
4831,15620,4831,179243,216823,216823,PASS
4877,15691,4877,180001,217921,217920,PASS
4909,15739,4909,180629,218701,218701,PASS
4933,15776,4933,181253,219293,219293,PASS
4951,15803,4951,181693,219736,219736,PASS
4969,15830,4969,182011,220172,220172,PASS
4993,15865,4993,182443,220701,220700,PASS
5009,15890,5009,182713,221117,221117,PASS
5023,15911,5023,183023,221400,221399,PASS
5059,15964,5059,183691,222240,222239,PASS
5087,16006,5087,184259,222923,222922,PASS
5107,16035,5107,184649,223394,223394,PASS
5147,16095,5147,185401,224375,224374,PASS
5171,16130,5171,185819,224936,224936,PASS
5197,16168,5197,186239,225528,225528,PASS
5231,16217,5231,186883,226288,226287,PASS
5261,16261,5261,187423,226956,226955,PASS
5281,16290,5281,187871,227439,227439,PASS
5309,16330,5309,188417,228053,228053,PASS
5347,16385,5347,189139,228945,228945,PASS
5387,16443,5387,189817,229941,229940,PASS
5407,16471,5407,190243,230412,230411,PASS
5419,16488,5419,190523,230687,230686,PASS
5441,16519,5441,190871,231181,231181,PASS
5471,16562,5471,191491,231878,231877,PASS
5483,16579,5483,191693,232152,232152,PASS
5507,16612,5507,192133,232724,232724,PASS
5527,16641,5527,192539,233152,233151,PASS
5563,16691,5563,193093,233931,233930,PASS
5581,16717,5581,193463,234362,234362,PASS
5639,16797,5639,194543,235578,235577,PASS
5651,16814,5651,194809,235843,235842,PASS
5659,16825,5659,194963,236059,236058,PASS
5689,16866,5689,195457,236709,236708,PASS
5711,16897,5711,195907,237211,237210,PASS
5741,16938,5741,196459,237836,237836,PASS
5779,16990,5779,197137,238633,238633,PASS
5801,17020,5801,197521,239086,239085,PASS
5821,17047,5821,197891,239525,239524,PASS
5843,17077,5843,198259,239961,239961,PASS
5857,17096,5857,198503,240270,240269,PASS
5869,17112,5869,198761,240589,240588,PASS
5897,17149,5897,199267,241229,241229,PASS
5927,17190,5927,199799,241911,241911,PASS
5981,17263,5981,200789,243118,243117,PASS
6011,17302,6011,201329,243738,243738,PASS
6043,17345,6043,201829,244440,244439,PASS
6067,17376,6067,202231,244964,244963,PASS
6089,17405,6089,202667,245454,245454,PASS
6113,17437,6113,203117,245974,245973,PASS
6133,17463,6133,203429,246391,246390,PASS
6163,17502,6163,203999,247009,247009,PASS
6199,17550,6199,204623,247751,247751,PASS
6217,17573,6217,204983,248105,248104,PASS
6247,17613,6247,205483,248695,248695,PASS
6269,17641,6269,205913,249164,249163,PASS
6287,17664,6287,206191,249502,249501,PASS
6311,17695,6311,206527,250030,250029,PASS
6329,17718,6329,206917,250393,250393,PASS
6353,17749,6353,207331,250871,250870,PASS
6367,17767,6367,207523,251215,251214,PASS
6389,17795,6389,207931,251655,251655,PASS
6427,17843,6427,208489,252432,252432,PASS
6469,17897,6469,209221,253267,253267,PASS
6491,17925,6491,209549,253720,253720,PASS
6547,17995,6547,210319,254773,254772,PASS
6563,18016,6563,210631,255132,255132,PASS
