y,M_cert,first_prime,last_prime,num_bits,den_bits,status
5573,16705,5573,193337,234180,234180,PASS
5623,16775,5623,194149,235248,235248,PASS
5647,16809,5647,194717,235766,235765,PASS
5657,16822,5657,194899,236004,236004,PASS
5683,16858,5683,195343,236580,236580,PASS
5701,16882,5701,195733,236995,236994,PASS
5737,16932,5737,196331,237727,237727,PASS
5749,16948,5749,196597,238047,238047,PASS
5791,17006,5791,197339,238869,238868,PASS
5813,17036,5813,197713,239355,239355,PASS
5839,17071,5839,198193,239869,239868,PASS
5851,17088,5851,198413,240158,240158,PASS
5867,17109,5867,198689,240518,240518,PASS
5881,17128,5881,198953,240905,240905,PASS
5923,17185,5923,199739,241806,241805,PASS
5953,17225,5953,200237,242489,242489,PASS
6007,17297,6007,201233,243632,243632,PASS
6037,17337,6037,201769,244313,244312,PASS
6053,17358,6053,201979,244676,244676,PASS
6079,17392,6079,202481,245251,245251,PASS
6101,17421,6101,202889,245691,245690,PASS
6131,17461,6131,203393,246353,246353,PASS
6151,17487,6151,203809,246760,246760,PASS
6197,17547,6197,204587,247698,247697,PASS
6211,17565,6211,204871,247992,247991,PASS
6229,17588,6229,205187,248343,248342,PASS
6263,17633,6263,205759,249068,249068,PASS
6277,17651,6277,206027,249301,249300,PASS
6301,17683,6301,206399,249857,249857,PASS
6323,17711,6323,206819,250267,250267,PASS
6343,17736,6343,207187,250704,250703,PASS
6361,17759,6361,207469,251083,251082,PASS
6379,17783,6379,207721,251441,251441,PASS
6421,17836,6421,208393,252307,252307,PASS
6451,17874,6451,208907,252906,252905,PASS
6481,17912,6481,209371,253538,253537,PASS
6529,17973,6529,210109,254486,254486,PASS
6553,18003,6553,210437,254917,254917,PASS
6571,18026,6571,210809,255267,255267,PASS
6599,18061,6599,211231,255861,255860,PASS
6637,18109,6637,211867,256624,256623,PASS
6661,18138,6661,212281,257068,257067,PASS
6689,18173,6689,212867,257665,257665,PASS
6703,18191,6703,213119,258005,258004,PASS
6733,18227,6733,213557,258635,258635,PASS
6763,18265,6763,214051,259302,259302,PASS
6791,18299,6791,214517,259852,259851,PASS
6823,18338,6823,215051,260490,260489,PASS
6833,18351,6833,215273,260758,260758,PASS
6863,18387,6863,215771,261355,261355,PASS
6883,18411,6883,216119,261787,261786,PASS
6911,18446,6911,216649,262396,262396,PASS
6949,18491,6949,217229,263140,263140,PASS
6967,18514,6967,217499,263587,263587,PASS
6983,18533,6983,217781,263869,263869,PASS
7001,18554,7001,218117,264231,264230,PASS
7027,18586,7027,218579,264787,264786,PASS
7057,18622,7057,219001,265326,265325,PASS
7103,18677,7103,219707,266213,266212,PASS
7127,18705,7127,219979,266641,266640,PASS
7159,18743,7159,220543,267248,267248,PASS
7193,18784,7193,221077,267922,267922,PASS
7213,18807,7213,221411,268275,268275,PASS
7237,18836,7237,221773,268801,268801,PASS
7253,18855,7253,222043,269178,269177,PASS
7307,18918,7307,222913,270101,270100,PASS
7331,18946,7331,223247,270574,270573,PASS
7351,18969,7351,223529,270894,270893,PASS
7411,19039,7411,224467,272063,272063,PASS
7451,19086,7451,225109,272812,272812,PASS
7477,19115,7477,225479,273267,273266,PASS
7489,19129,7489,225671,273553,273553,PASS
7517,19162,7517,226123,274070,274069,PASS
7537,19185,7537,226453,274421,274420,PASS
7549,19198,7549,226649,274635,274634,PASS
7573,19226,7573,227093,275122,275122,PASS
7589,19244,7589,227363,275481,275480,PASS
7607,19265,7607,227581,275861,275861,PASS
7643,19306,7643,228203,276571,276571,PASS
7673,19340,7673,228593,277196,277196,PASS
7691,19360,7691,228859,277548,277547,PASS
7717,19390,7717,229237,278026,278026,PASS
7741,19417,7741,229589,278430,278429,PASS
7759,19437,7759,229781,278810,278809,PASS
7817,19502,7817,230567,279808,279808,PASS
7841,19529,7841,230969,280207,280206,PASS
7873,19565,7873,231479,280806,280805,PASS
7883,19576,7883,231611,281022,281021,PASS
7919,19616,7919,232187,281710,281710,PASS
7937,19636,7937,232513,282089,282088,PASS
7963,19664,7963,232901,282563,282562,PASS
8011,19718,8011,233689,283440,283439,PASS
8053,19764,8053,234319,284153,284152,PASS
8081,19795,8081,234743,284662,284661,PASS
8093,19808,8093,234917,284899,284899,PASS
8117,19835,8117,235273,285360,285359,PASS
8161,19882,8161,235979,286141,286140,PASS
