PS C:\Users\stran\Documents\Lehmer\code\V3> python appendixB_table_generator.py --verify-casec-table appendixB_fast_output.txt
[exact] sieving primes up to 4132637 ...

[B.2 exact certificate from saved Case C table]
y,mreq_y,first_prime,last_prime,num_digits,den_digits,status
Exact Case C [#######-------------------------] 67/302 ( 22.2%)337,11328,337,121039,43868,43868,PASS
Exact Case C [#######-------------------------] 68/302 ( 22.5%)347,11693,347,125303,45458,45458,PASS
Exact Case C [#######-------------------------] 69/302 ( 22.8%)349,12059,349,129581,47060,47060,PASS
Exact Case C [#######-------------------------] 70/302 ( 23.2%)353,12437,353,134129,48680,48679,PASS
Exact Case C [#######-------------------------] 71/302 ( 23.5%)359,12823,359,138581,50371,50370,PASS
Exact Case C [#######-------------------------] 72/302 ( 23.8%)367,13215,367,143329,52118,52118,PASS
Exact Case C [#######-------------------------] 73/302 ( 24.2%)373,13611,373,148147,53835,53835,PASS
Exact Case C [#######-------------------------] 74/302 ( 24.5%)379,14014,379,152777,55582,55582,PASS
Exact Case C [#######-------------------------] 75/302 ( 24.8%)383,14423,383,157721,57354,57354,PASS
Exact Case C [########------------------------] 76/302 ( 25.2%)389,14841,389,162823,59181,59180,PASS
Exact Case C [########------------------------] 77/302 ( 25.5%)397,15266,397,168067,61070,61069,PASS
Exact Case C [########------------------------] 78/302 ( 25.8%)401,15696,401,173263,62991,62991,PASS
Exact Case C [########------------------------] 79/302 ( 26.2%)409,16134,409,178609,64998,64998,PASS
Exact Case C [########------------------------] 80/302 ( 26.5%)419,16576,419,183919,66975,66975,PASS
Exact Case C [########------------------------] 81/302 ( 26.8%)421,17021,421,189257,68976,68976,PASS
Exact Case C [########------------------------] 82/302 ( 27.2%)431,17477,431,194827,71023,71023,PASS
Exact Case C [########------------------------] 83/302 ( 27.5%)433,17935,433,200383,73076,73076,PASS
Exact Case C [########------------------------] 84/302 ( 27.8%)439,18404,439,206249,75159,75159,PASS
Exact Case C [#########-----------------------] 85/302 ( 28.1%)443,18880,443,211873,77276,77275,PASS
Exact Case C [#########-----------------------] 86/302 ( 28.5%)449,19364,449,218083,79547,79546,PASS
Exact Case C [#########-----------------------] 87/302 ( 28.8%)457,19856,457,224057,81757,81756,PASS
Exact Case C [#########-----------------------] 88/302 ( 29.1%)461,20353,461,230059,84054,84053,PASS
Exact Case C [#########-----------------------] 89/302 ( 29.5%)463,20858,463,236549,86358,86358,PASS
Exact Case C [#########-----------------------] 90/302 ( 29.8%)467,21376,467,242971,88736,88735,PASS
Exact Case C [#########-----------------------] 91/302 ( 30.1%)479,21902,479,249383,91178,91177,PASS
Exact Case C [#########-----------------------] 92/302 ( 30.5%)487,22429,487,255961,93626,93626,PASS
Exact Case C [#########-----------------------] 93/302 ( 30.8%)491,22962,491,262807,96077,96077,PASS
Exact Case C [#########-----------------------] 94/302 ( 31.1%)499,23503,499,269387,98525,98525,PASS
Exact Case C [##########----------------------] 95/302 ( 31.5%)503,24049,503,276251,101025,101025,PASS
Exact Case C [##########----------------------] 96/302 ( 31.8%)509,24605,509,283207,103619,103619,PASS
Exact Case C [##########----------------------] 97/302 ( 32.1%)521,25168,521,290489,106257,106256,PASS
Exact Case C [##########----------------------] 98/302 ( 32.5%)523,25732,523,297797,108975,108975,PASS
Exact Case C [##########----------------------] 99/302 ( 32.8%)541,26308,541,304961,111628,111628,PASS
Exact Case C [##########----------------------] 100/302 ( 33.1%)547,26878,547,312311,114388,114388,PASS
Exact Case C [##########----------------------] 101/302 ( 33.4%)557,27455,557,319391,117116,117116,PASS
Exact Case C [##########----------------------] 102/302 ( 33.8%)563,28035,563,326633,119832,119832,PASS
Exact Case C [##########----------------------] 103/302 ( 34.1%)569,28621,569,334057,122638,122638,PASS
Exact Case C [###########---------------------] 104/302 ( 34.4%)571,29214,571,341659,125444,125444,PASS
Exact Case C [###########---------------------] 105/302 ( 34.8%)577,29819,577,349379,128301,128301,PASS
Exact Case C [###########---------------------] 106/302 ( 35.1%)587,30430,587,357197,131219,131218,PASS
Exact Case C [###########---------------------] 107/302 ( 35.4%)593,31045,593,365137,134167,134166,PASS
Exact Case C [###########---------------------] 108/302 ( 35.8%)599,31667,599,373327,137059,137059,PASS
Exact Case C [###########---------------------] 109/302 ( 36.1%)601,32297,601,381419,140077,140076,PASS
Exact Case C [###########---------------------] 110/302 ( 36.4%)607,32938,607,389791,143096,143096,PASS
Exact Case C [###########---------------------] 111/302 ( 36.8%)613,33586,613,397981,146194,146193,PASS
Exact Case C [###########---------------------] 112/302 ( 37.1%)617,34242,617,406673,149353,149353,PASS
Exact Case C [###########---------------------] 113/302 ( 37.4%)619,34907,619,415201,152454,152454,PASS
Exact Case C [############--------------------] 114/302 ( 37.7%)631,35585,631,424001,155714,155713,PASS
Exact Case C [############--------------------] 115/302 ( 38.1%)641,36263,641,432661,159001,159001,PASS
Exact Case C [############--------------------] 116/302 ( 38.4%)643,36945,643,441547,162298,162297,PASS
Exact Case C [############--------------------] 117/302 ( 38.7%)647,37638,647,450529,165640,165640,PASS
Exact Case C [############--------------------] 118/302 ( 39.1%)653,38341,653,460013,169023,169022,PASS
Exact Case C [############--------------------] 119/302 ( 39.4%)659,39052,659,469283,172500,172500,PASS
Exact Case C [############--------------------] 120/302 ( 39.7%)661,39771,661,478493,175992,175992,PASS
Exact Case C [############--------------------] 121/302 ( 40.1%)673,40502,673,488227,179496,179495,PASS
Exact Case C [############--------------------] 122/302 ( 40.4%)677,41233,677,497633,183019,183019,PASS
Exact Case C [#############-------------------] 123/302 ( 40.7%)683,41975,683,507401,186650,186650,PASS
Exact Case C [#############-------------------] 124/302 ( 41.1%)691,42725,691,517277,190465,190465,PASS
Exact Case C [#############-------------------] 125/302 ( 41.4%)701,43480,701,526997,194188,194188,PASS
Exact Case C [#############-------------------] 126/302 ( 41.7%)709,44239,709,537071,197915,197915,PASS
Exact Case C [#############-------------------] 127/302 ( 42.1%)719,45003,719,547501,201645,201645,PASS
Exact Case C [#############-------------------] 128/302 ( 42.4%)727,45771,727,557693,205402,205402,PASS
Exact Case C [#############-------------------] 129/302 ( 42.7%)733,46545,733,568091,209198,209198,PASS
Exact Case C [#############-------------------] 130/302 ( 43.0%)739,47326,739,578311,213070,213070,PASS
Exact Case C [#############-------------------] 131/302 ( 43.4%)743,48115,743,588481,216975,216975,PASS
Exact Case C [#############-------------------] 132/302 ( 43.7%)751,48914,751,599321,220957,220957,PASS
Exact Case C [##############------------------] 133/302 ( 44.0%)757,49719,757,609887,224998,224998,PASS
Exact Case C [##############------------------] 134/302 ( 44.4%)761,50531,761,620671,228981,228981,PASS
Exact Case C [##############------------------] 135/302 ( 44.7%)769,51354,769,631993,233129,233129,PASS
Exact Case C [##############------------------] 136/302 ( 45.0%)773,52183,773,643439,237244,237244,PASS
Exact Case C [##############------------------] 137/302 ( 45.4%)787,53022,787,654509,241376,241376,PASS
Exact Case C [##############------------------] 138/302 ( 45.7%)797,53860,797,665629,245579,245578,PASS
Exact Case C [##############------------------] 139/302 ( 46.0%)809,54702,809,677077,249805,249805,PASS
Exact Case C [##############------------------] 140/302 ( 46.4%)811,55545,811,688309,254116,254115,PASS
Exact Case C [##############------------------] 141/302 ( 46.7%)821,56401,821,699961,258488,258488,PASS
Exact Case C [###############-----------------] 142/302 ( 47.0%)823,57260,823,711223,262818,262818,PASS
Exact Case C [###############-----------------] 143/302 ( 47.4%)827,58131,827,723161,267156,267156,PASS
Exact Case C [###############-----------------] 144/302 ( 47.7%)829,59012,829,735019,271633,271633,PASS
Exact Case C [###############-----------------] 145/302 ( 48.0%)839,59905,839,747463,276164,276163,PASS
Exact Case C [###############-----------------] 146/302 ( 48.3%)853,60803,853,759623,280678,280678,PASS
Exact Case C [###############-----------------] 147/302 ( 48.7%)857,61700,857,771481,285218,285217,PASS
Exact Case C [###############-----------------] 148/302 ( 49.0%)859,62607,859,783791,289825,289824,PASS
Exact Case C [###############-----------------] 149/302 ( 49.3%)863,63526,863,796217,294514,294514,PASS
Exact Case C [###############-----------------] 150/302 ( 49.7%)877,64455,877,808993,299363,299363,PASS
Exact Case C [################----------------] 151/302 ( 50.0%)881,65385,881,821641,304071,304071,PASS
Exact Case C [################----------------] 152/302 ( 50.3%)883,66324,883,834149,308952,308952,PASS
Exact Case C [################----------------] 153/302 ( 50.7%)887,67275,887,847361,313778,313778,PASS
Exact Case C [################----------------] 154/302 ( 51.0%)907,68238,907,860641,318765,318765,PASS
Exact Case C [################----------------] 155/302 ( 51.3%)911,69193,911,873569,323607,323607,PASS
Exact Case C [################----------------] 156/302 ( 51.7%)919,70159,919,886651,328503,328503,PASS
Exact Case C [################----------------] 157/302 ( 52.0%)929,71130,929,900157,333428,333428,PASS
Exact Case C [################----------------] 158/302 ( 52.3%)937,72106,937,913421,338477,338477,PASS
Exact Case C [################----------------] 159/302 ( 52.6%)941,73088,941,926797,343480,343480,PASS
Exact Case C [################----------------] 160/302 ( 53.0%)947,74080,947,940733,348547,348546,PASS
Exact Case C [#################---------------] 161/302 ( 53.3%)953,75080,953,954623,353755,353755,PASS
Exact Case C [#################---------------] 162/302 ( 53.6%)967,76088,967,968567,358951,358950,PASS
Exact Case C [#################---------------] 163/302 ( 54.0%)971,77097,971,982759,364137,364137,PASS
Exact Case C [#################---------------] 164/302 ( 54.3%)977,78116,977,997021,369431,369431,PASS
Exact Case C [#################---------------] 165/302 ( 54.6%)983,79143,983,1010881,374718,374718,PASS
Exact Case C [#################---------------] 166/302 ( 55.0%)991,80178,991,1025111,380144,380144,PASS
