PS C:\Users\stran\Documents\Lehmer\code\V3> python appendixB_table_generator.py --verify-casec-table appendixB_fast_output.txt
[exact] sieving primes up to 4132637 ...

[B.2 exact certificate from saved Case C table]
y,mreq_y,first_prime,last_prime,num_digits,den_digits,status
Exact Case C [##############################--] 287/302 ( 95.0%)1877,261329,1877,3673463,1375070,1375070,PASS
Exact Case C [##############################--] 288/302 ( 95.4%)1879,263294,1879,3702757,1386371,1386371,PASS
Exact Case C [##############################--] 289/302 ( 95.7%)1889,265272,1889,3732173,1397844,1397844,PASS
Exact Case C [##############################--] 290/302 ( 96.0%)1901,267255,1901,3762833,1409116,1409115,PASS
Exact Case C [##############################--] 291/302 ( 96.4%)1907,269242,1907,3793021,1420538,1420538,PASS
Exact Case C [##############################--] 292/302 ( 96.7%)1913,271238,1913,3822851,1431981,1431980,PASS
Exact Case C [###############################-] 293/302 ( 97.0%)1931,273244,1931,3853429,1443544,1443543,PASS
Exact Case C [###############################-] 294/302 ( 97.4%)1933,275247,1933,3884071,1454938,1454937,PASS
Exact Case C [###############################-] 295/302 ( 97.7%)1949,277264,1949,3914569,1466593,1466593,PASS
Exact Case C [###############################-] 296/302 ( 98.0%)1951,279280,1951,3944827,1478033,1478033,PASS
Exact Case C [###############################-] 297/302 ( 98.3%)1973,281309,1973,3976061,1489610,1489610,PASS
Exact Case C [###############################-] 298/302 ( 98.7%)1979,283332,1979,4007351,1501011,1501011,PASS
Exact Case C [###############################-] 299/302 ( 99.0%)1987,285364,1987,4037827,1512834,1512833,PASS
Exact Case C [###############################-] 300/302 ( 99.3%)1993,287403,1993,4068731,1524550,1524550,PASS
Exact Case C [###############################-] 301/302 ( 99.7%)1997,289452,1997,4099597,1536332,1536332,PASS
Exact Case C [################################] 302/302 (100.0%)
1999,291512,1999,4131637,1548121,1548121,PASS

checked 302 Case C rows: PASS exact certificate
FINAL STATUS: PASS
