y,M_cert,first_prime,last_prime,num_bits,den_bits,status
2017,10099,2017,109441,131638,131637,PASS
2039,10157,2039,110183,132472,132472,PASS
2069,10235,2069,111121,133711,133710,PASS
2087,10281,2087,111733,134299,134299,PASS
2111,10344,2111,112459,135198,135197,PASS
2131,10394,2131,113093,135982,135981,PASS
2143,10425,2143,113467,136424,136423,PASS
2179,10516,2179,114649,137739,137738,PASS
2213,10602,2213,115727,139033,139032,PASS
2239,10666,2239,116437,140027,140026,PASS
2267,10736,2267,117307,141098,141098,PASS
2281,10770,2281,117731,141651,141650,PASS
2297,10809,2297,118211,142239,142238,PASS
2333,10896,2333,119293,143563,143563,PASS
2347,10930,2347,119747,144117,144116,PASS
2371,10987,2371,120427,144980,144979,PASS
2383,11016,2383,120817,145347,145347,PASS
2399,11054,2399,121267,145936,145935,PASS
2423,11111,2423,121949,146815,146814,PASS
2447,11168,2447,122579,147758,147757,PASS
2473,11228,2473,123379,148646,148646,PASS
2521,11340,2521,124699,150271,150270,PASS
2543,11390,2543,125303,151008,151008,PASS
2557,11422,2557,125711,151473,151473,PASS
2593,11504,2593,126719,152741,152741,PASS
2621,11567,2621,127591,153741,153740,PASS
2657,11648,2657,128483,155019,155018,PASS
2671,11679,2671,128903,155449,155448,PASS
2687,11715,2687,129313,156024,156023,PASS
2699,11741,2699,129629,156384,156384,PASS
2713,11772,2713,130073,156900,156900,PASS
2731,11811,2731,130531,157419,157419,PASS
2753,11860,2753,131221,158170,158169,PASS
2789,11938,2789,132199,159354,159353,PASS
2801,11963,2801,132527,159742,159741,PASS
2833,12033,2833,133321,160785,160784,PASS
2851,12071,2851,133831,161393,161393,PASS
2879,12131,2879,134597,162298,162297,PASS
2903,12181,2903,135277,163023,163023,PASS
2927,12233,2927,135851,163874,163873,PASS
2957,12295,2957,136541,164792,164792,PASS
2971,12324,2971,136943,165267,165266,PASS
3011,12407,3011,137957,166550,166549,PASS
3037,12460,3037,138581,167327,167326,PASS
3061,12510,3061,139303,168139,168138,PASS
3083,12555,3083,139837,168857,168857,PASS
3119,12628,3119,140689,169961,169960,PASS
3163,12716,3163,141731,171252,171251,PASS
3181,12752,3181,142183,171831,171831,PASS
3203,12796,3203,142789,172552,172551,PASS
3221,12831,3221,143291,173114,173113,PASS
3253,12895,3253,144163,173996,173995,PASS
3271,12930,3271,144593,174555,174555,PASS
3307,13001,3307,145513,175723,175722,PASS
3323,13032,3323,145903,176247,176246,PASS
3343,13070,3343,146369,176808,176807,PASS
3361,13105,3361,146843,177372,177371,PASS
3389,13159,3389,147503,178127,178126,PASS
3413,13204,3413,148139,178834,178833,PASS
3457,13288,3457,149111,180131,180130,PASS
3467,13307,3467,149351,180495,180495,PASS
3499,13368,3499,150083,181442,181441,PASS
3527,13420,3527,150767,182180,182179,PASS
3539,13442,3539,151013,182473,182473,PASS
3557,13476,3557,151471,183007,183007,PASS
3581,13521,3581,151939,183713,183713,PASS
3607,13569,3607,152567,184380,184379,PASS
3623,13598,3623,152939,184899,184899,PASS
3643,13635,3643,153437,185487,185486,PASS
3673,13690,3673,154153,186311,186310,PASS
3697,13734,3697,154723,186956,186955,PASS
3719,13773,3719,155209,187559,187558,PASS
3739,13810,3739,155671,188129,188129,PASS
3769,13863,3769,156371,188916,188915,PASS
3797,13914,3797,157061,189724,189724,PASS
3823,13960,3823,157579,190418,190418,PASS
3851,14009,3851,158269,191203,191202,PASS
3877,14056,3877,158909,191865,191864,PASS
3907,14108,3907,159571,192667,192666,PASS
3919,14130,3919,159833,193008,193008,PASS
3931,14150,3931,160093,193375,193374,PASS
3967,14213,3967,160883,194253,194252,PASS
4003,14275,4003,161729,195210,195209,PASS
4019,14303,4019,162059,195703,195703,PASS
4049,14355,4049,162751,196494,196494,PASS
4073,14395,4073,163259,197145,197144,PASS
4093,14429,4093,163733,197677,197676,PASS
4127,14487,4127,164429,198541,198540,PASS
4139,14508,4139,164729,198868,198868,PASS
4159,14541,4159,165287,199384,199384,PASS
4211,14628,4211,166393,200733,200732,PASS
4229,14658,4229,166799,201202,201201,PASS
4243,14682,4243,167071,201608,201608,PASS
4261,14712,4261,167437,202121,202121,PASS
4283,14748,4283,167953,202721,202720,PASS
4327,14821,4327,169003,203848,203848,PASS
4349,14857,4349,169471,204411,204410,PASS
4373,14897,4373,169943,205096,205095,PASS
4409,14955,4409,170641,206000,205999,PASS
4441,15007,4441,171299,206820,206819,PASS
4457,15033,4457,171671,207230,207229,PASS
4483,15074,4483,172181,207862,207861,PASS
4513,15123,4513,172741,208644,208644,PASS
4523,15138,4523,172987,208899,208899,PASS
4561,15199,4561,173783,209910,209909,PASS
4591,15246,4591,174367,210719,210718,PASS
4621,15294,4621,175003,211484,211484,PASS
4643,15329,4643,175601,212041,212040,PASS
4657,15350,4657,175873,212372,212372,PASS
4679,15386,4679,176299,212929,212928,PASS
4721,15450,4721,176983,214009,214008,PASS
4733,15469,4733,177283,214319,214318,PASS
4783,15546,4783,178333,215528,215527,PASS
4793,15562,4793,178559,215800,215799,PASS
4813,15593,4813,178907,216347,216346,PASS
4861,15666,4861,179737,217496,217496,PASS
4889,15709,4889,180259,218204,218204,PASS
4919,15754,4919,180883,218951,218950,PASS
4937,15782,4937,181361,219384,219383,PASS
4957,15812,4957,181777,219881,219880,PASS
4973,15836,4973,182089,220280,220279,PASS
4999,15875,4999,182561,220835,220835,PASS
5011,15893,5011,182789,221155,221155,PASS
5039,15934,5039,183343,221740,221739,PASS
5077,15991,5077,184043,222639,222639,PASS
5099,16024,5099,184511,223195,223195,PASS
5113,16044,5113,184753,223522,223522,PASS
5153,16103,5153,185531,224503,224503,PASS
5179,16141,5179,185947,225102,225101,PASS
5209,16186,5209,186479,225815,225814,PASS
5233,16220,5233,186959,226341,226341,PASS
5273,16279,5273,187661,227259,227259,PASS
5297,16313,5297,188189,227781,227781,PASS
5323,16351,5323,188701,228406,228405,PASS
5351,16391,5351,189229,229037,229037,PASS
5393,16451,5393,189913,230084,230083,PASS
5413,16479,5413,190331,230555,230554,PASS
5431,16505,5431,190709,230945,230944,PASS
5443,16522,5443,190909,231251,231251,PASS
5477,16570,5477,191561,232022,232021,PASS
5501,16604,5501,192029,232549,232548,PASS
5519,16630,5519,192343,232984,232983,PASS
5531,16647,5531,192587,233258,233258,PASS
5569,16699,5569,193201,234057,234057,PASS
5591,16731,5591,193649,234566,234566,PASS
5641,16799,5641,194591,235630,235630,PASS
5653,16817,5653,194839,235913,235913,PASS
5669,16839,5669,195127,236259,236258,PASS
5693,16871,5693,195527,236814,236813,PASS
5717,16905,5717,195991,237339,237339,PASS
5743,16940,5743,196501,237889,237889,PASS
5783,16995,5783,197221,238722,238722,PASS
5807,17028,5807,197621,239229,239228,PASS
5827,17055,5827,197963,239620,239619,PASS
5849,17085,5849,198377,240103,240103,PASS
5861,17101,5861,198593,240360,240359,PASS
5879,17125,5879,198929,240835,240834,PASS
